name,price,status,shipping,free_returns,items_sold
Large Backpack Top-Quality Genuine Vintage Leather Rucksack Travel Laptop Bag,4100,New (Other),0,True,0
Mens Leather Laptop Backpack Shoulder Messenger Bag Rucksack Sling Bag Vintage,4680,New (Other),0,False,0
LEATHER BRIEFCASE LAPTOP BAG MENS BROWN BUSINESS GENUINE MADE IN ITALY NEW ,26700,Brand New,0,False,0
Women Faux Leather Briefcase Laptop Handbag Satchel Bag Business Work Purse ,3599,Brand New,0,False,
Dango P02 PIONEER TRAVEL Wallet (Made in USA) - Pen Bundles available,9900,Brand New,800,True,
 Handmade Men's Genuine Leather Vintage Laptop Messenger Briefcase Bag Satchel,3588,Brand New,0,False,84
Space Jam 17” Looney Tunes Backpack With Laptop Sleeve 2021 Book Bag,2222,Brand New,0,False,
"Trans JanSport Large Supermax Laptop Backpack Vivid Lilac Purple NWT 17"" Beach",1895,Brand New,945,False,0
"Trans by JanSport Supermax 17"" Backpack Navy Blue Laptop Sleeve",2099,Brand New,1099,False,
KINGSONS Mens Laptop Backpack Travel Tote Anti-Theft Port Waterproof USB Charge,3773,Brand New,0,True,
Timbuk2 D-Lux Messenger Medium Black Laptop Commuter Bag Foam Padded Reflective ,8900,Pre-Owned,1499,False,
Men's Leather Backpack Shoulder Bag Weekender Travel School Laptop Bags Daypack,3299,Brand New,0,True,137
Kenneth Cole Reaction Contour Laptop Backpack Black NEW! ,1199,Brand New,800,False,
"Leather Messenger Shoulder Laptop Men's Briefcase Satchel 18"" Very Stylish Goat ",3600,New (Other),0,True,
Backpack Leather Vintage Bag Rucksack Laptop Men's Genuine Travel Satchel New ,4700,New (Other),0,True,
HANDMADE MESSENGER Genuine Brown Leather Vintage Mens Laptop Computer Bag BAG,3956,New (Other),0,False,0
"18"" New Leather Handbag Men Shoulder Messenger Briefcase Business Big Laptop Bag",5800,New (Other),0,True,
Laptop Messenger Shoulder Bag for MacBook Pro 16 A2141 15 15.6 inch Briefcase,1368,Brand New,0,True,
"Handmade 22"" Large Backpack Genuine Vintage Leather Laptop Rucksack Travel Bag",3050,New (Other),0,True,13
"JanSport 15"" Laptop Sleeve Blue T17C9RW NEW!!",1495,Brand New,0,False,0
Roblox 17 inch back pack padded adjustable shoulder straps laptop sleeve,1298,Brand New,1270,False,
Vera Bradley Satchel purse laptop bag in retired  Cuban Tiles,3500,Pre-Owned,2115,False,
Vera Bradley Laptop computer Messenger Bag in Lemon Parfait,3500,Pre-Owned,1500,False,
